Key,Fecha,Cuenta,Publicación,Respuestas,Paginas relacionadas
1,11/03/2025,@Fiduoccidente,"Los mercados temen una recesión en 2025 tras la actualización del modelo de crecimiento de la Reserva de Atlanta, afectado por exportaciones, importaciones y transporte.

🔊Dale play y empieza a invertir en conocimiento👉 https://bit.ly/4ijVB6S 

#Mercados #economia",,https://bit.ly/4ijVB6S
2,07/03/2025,@Fiduoccidente,"Expectativa en el mercado: hoy se publica el dato de inflación en Colombia con proyecciones similares al año pasado. La calificación crediticia sigue en la mira, reflejando los retos fiscales del país. 
🔊 Dale play y empieza a invertir en conocimiento. 👉https://bit.ly/4heFHcA",,https://bit.ly/4heFHcA
3,06/03/2025,@Fiduoccidente,"Nuestro fondo está diseñado para optimizar tus recursos asumiendo un perfil de riesgo conservador.

Características:
🔹Invierte desde $200.000
🔹No tiene cláusula de permanencia
🔹Comisión de admon1,5% nominal anual

Conoce más en: https://bit.ly/4ihpiFg",,https://bit.ly/4ihpiFg
4,05/03/2025,@Fiduoccidente,"¡Sintonízate con nosotros!
Un nuevo capítulo de Inversión en Sintonía ya está disponible.

🔊Dale play y empieza a invertir en conocimiento. 👉https://bit.ly/41GzdyJ

#fiduoccidente #construyendometas #habitosfinancieros",,"https://bit.ly/41GzdyJ
"
5,28/02/2025,@Fiduoccidente,Te compartimos el cierre de la semana con los principales indicadores económicos.  #Mercados #USD #COP #Economía #FinanzasPersonales 📊,,
6,27/02/2025,@Fiduoccidente,"La fiducia en Colombia gestionó $955B en 2024, abarcando el 60% del PIB. En 2025, impulsará innovación y reforma pensional.
Conoce más aquí: https://bit.ly/4ifvUEg",,https://bit.ly/4ifvUEg
7,27/02/2025,@Fiduoccidente,"El sector fiduciario en Colombia cerró 2024 con $955 billones en activos. Mario Estupiñán, presidente de FiduOccidente, destaca su rol clave en el 60% del PIB. En 2025, apuesta por innovación y la reforma pensional. 
Conoce más aquí: https://bit.ly/4ifvUEg",,https://bit.ly/4ifvUEg
8,27/02/2025,@Fiduoccidente,"Te invitamos a escuchar nuestro tercer capítulo de Inversión en Sintonía. 
🔊 Dale play y empieza a invertir en conocimiento. 👉 https://bit.ly/4ii3Mk0",,https://bit.ly/4ii3Mk0
9,27/02/2025,"@Portafolioco
","Mario Estupiñán, presidente de Fiduoccidente (
@Fiduoccidente
), calificó el 2024 como un año positivo para este sector del mercado inversionista. 📊

Detalles. ⬇️",,
10,26/02/2025,@Fiduoccidente,"Adivina, adivinador… 🤔Pongo mi dinero en un lugar seguro, con el tiempo sube su valor puro. No es magia ni suerte, es una decisión, ¡una inversión con gran proyección! 🚀💰

#finanzaspersonales #adivinanza #reto #inversión",,
11,25/02/2025,@Fiduoccidente,"Te invitamos a escuchar nuestro segundo capítulo de Inversión en Sintonía. 🙌🚀

🔊 Dale play y empieza a invertir en conocimiento 👉 https://bit.ly/41vAZTe",,https://bit.ly/41vAZTe
12,13/02/2025,"@confidencialcol
",FiduOccidente cerró un 2024 récord y proyecta un mejor 2025 https://confidencialnoticias.com/?p=550281,,https://confidencialnoticias.com/?p=550281
13,24/02/2025,@Fiduoccidente,Inicia la semana informado con los principales indicadores económicos. #Mercados #USD #COP #Economía #FinanzasPersonales,,
14,21/02/2025,@Fiduoccidente,Te compartimos el cierre de la semana con los principales indicadores económicos.  #Mercados #USD #COP #Economía #FinanzasPersonales 📊,,
15,20/02/2025,@Fiduoccidente,"La economía y las finanzas evolucionan constantemente, y junto con Daniel Escobar, queremos ayudarte a comprenderlas de manera clara y oportuna. En nuestro nuevo espacio exploramos tendencias económicas, y análisis de inversión. 
Escúchalo aquí: https://bit.ly/4i3ag5Y📊💡",,https://bit.ly/4i3ag5Y
16,19/02/2025,@Fiduoccidente,"Optimiza la gestión de tus recursos públicos con Occitesoros. Este FIC abierto y sin pacto de permanencia, está diseñado para entidades gubernamentales y se ajusta al decreto 1068 de 2015.

Contáctanos al DM para más información o contáctanos aquí: https://bit.ly/3VvmdbH",,https://bit.ly/3VvmdbH
